Campaign,Ad Group,Keyword,Match Type,Volume,Competition,Final URL
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""flex kontor""",Phrase,10,UNSPECIFIED,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""fleksibelt kontor""",Phrase,10,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""privat kontor""",Phrase,10,HIGH,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""teamkontor""",Phrase,10,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""lej mødelokale""",Phrase,880,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,[lej et mødelokale],Exact,880,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,[leje af mødelokale],Exact,880,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""leje mødelokale""",Phrase,880,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""mødelokaler""",Phrase,480,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""mødelokale""",Phrase,390,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""book mødelokale""",Phrase,110,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""møde lokaler""",Phrase,90,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""møde lokale""",Phrase,90,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""mødelokale leje""",Phrase,40,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,"""eksklusive mødelokaler""",Phrase,40,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Mødelokaler,Mødelokaler | Danmark,[mødelokale med forplejning],Exact,30,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Virtuelt Kontor,Virtuelt Kontor | Danmark,"""virtuelt kontor""",Phrase,320,LOW,https://companyons.dk/
mb | DA | Search | Virtuelt Kontor,Virtuelt Kontor | Danmark,"""virtuel kontor""",Phrase,140,LOW,https://companyons.dk/
